,Product Name,Category,Product Feel,Product Fit,Product Function,Best Suited Activity,sku_orderInAvailabilityMap,Color,Best Suited Weather,sku_size
0,"ABC Pant Relaxed 34"" *Warpstreme",Trousers,Warpstreme,Relaxed Fit,ABC Technology,"On the Move, golf, work, casual",5,Obsidian,"Spring, Summer, Fall, Winter",32
1,"ABC Pant Relaxed 34"" *Warpstreme",Trousers,Warpstreme,Relaxed Fit,ABC Technology,"On the Move, golf, work, casual",1,Obsidian,"Spring, Summer, Fall, Winter",28
2,"ABC Pant Relaxed 34"" *Warpstreme",Trousers,Warpstreme,Relaxed Fit,ABC Technology,"On the Move, golf, work, casual",2,Obsidian,"Spring, Summer, Fall, Winter",29
3,"ABC Pant Relaxed 34"" *Warpstreme",Trousers,Warpstreme,Relaxed Fit,ABC Technology,"On the Move, golf, work, casual",4,Obsidian,"Spring, Summer, Fall, Winter",31
4,"ABC Pant Relaxed 34"" *Warpstreme",Trousers,Warpstreme,Relaxed Fit,ABC Technology,"On the Move, golf, work, casual",3,Obsidian,"Spring, Summer, Fall, Winter",30
5,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",37,Dark Olive,"Spring, Summer, Warm Weather",S
6,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",38,Dark Olive,"Spring, Summer, Warm Weather",XL
7,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",39,Dark Olive,"Spring, Summer, Warm Weather",XS
8,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",40,Dark Olive,"Spring, Summer, Warm Weather",XXL
9,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",3,Cyan Blue,"Spring, Summer, Warm Weather",S
10,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",5,Cyan Blue,"Spring, Summer, Warm Weather",XS
11,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",4,Cyan Blue,"Spring, Summer, Warm Weather",XL
12,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",1,Cyan Blue,"Spring, Summer, Warm Weather",L
13,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",2,Cyan Blue,"Spring, Summer, Warm Weather",M
14,"ABC Slim-Fit 5 Pocket Pant 32""L *Warpstreme",Trousers,Warpstreme,Slim Fit,"ABC Technology, Pocketed, Reflective","casual, On the Move, work",7,Bone,"Cold Weather, Fall, Spring, Summer, Winter",34
15,"ABC Slim-Fit 5 Pocket Pant 32""L *Warpstreme",Trousers,Warpstreme,Slim Fit,"ABC Technology, Pocketed, Reflective","casual, On the Move, work",6,Bone,"Cold Weather, Fall, Spring, Summer, Winter",33
16,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",36,Dark Olive,"Spring, Summer, Warm Weather",M
17,"ABC Slim-Fit 5 Pocket Pant 32""L *Warpstreme",Trousers,Warpstreme,Slim Fit,"ABC Technology, Pocketed, Reflective","casual, On the Move, work",3,Bone,"Cold Weather, Fall, Spring, Summer, Winter",30
18,"ABC Slim-Fit 5 Pocket Pant 32""L *Warpstreme",Trousers,Warpstreme,Slim Fit,"ABC Technology, Pocketed, Reflective","casual, On the Move, work",2,Bone,"Cold Weather, Fall, Spring, Summer, Winter",29
19,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",35,Dark Olive,"Spring, Summer, Warm Weather",L
