,Product Name,Category,Product Feel,Product Fit,Product Function,Best Suited Activity,sku_orderInAvailabilityMap,Color,Best Suited Weather,sku_size
0,Team Canada City Sweat Jogger *COC Logo,Joggers,French Terry,Classic Fit,"Drawstring, Pocketed","casual, On the Move",6,Maple Metamorphosis Dark Red Multi,,XXL
1,Team Canada City Sweat Jogger *COC Logo,Joggers,French Terry,Classic Fit,"Drawstring, Pocketed","casual, On the Move",5,Maple Metamorphosis Dark Red Multi,,XS
2,Team Canada City Sweat Jogger *COC Logo,Joggers,French Terry,Classic Fit,"Drawstring, Pocketed","casual, On the Move",4,Maple Metamorphosis Dark Red Multi,,XL
3,Team Canada City Sweat Jogger *COC Logo,Joggers,French Terry,Classic Fit,"Drawstring, Pocketed","casual, On the Move",2,Maple Metamorphosis Dark Red Multi,,M
4,Team Canada City Sweat Jogger *COC Logo,Joggers,French Terry,Classic Fit,"Drawstring, Pocketed","casual, On the Move",3,Maple Metamorphosis Dark Red Multi,,S
5,Team Canada City Sweat Jogger *COC Logo,Joggers,French Terry,Classic Fit,"Drawstring, Pocketed","casual, On the Move",1,Maple Metamorphosis Dark Red Multi,,L
6,Team Canada City Sweat Jogger *COC Logo,Joggers,French Terry,Classic Fit,"Drawstring, Pocketed","casual, On the Move",6,Maple Metamorphosis Dark Red Multi,,XXL
7,Team Canada City Sweat Jogger *COC Logo,Joggers,French Terry,Classic Fit,"Drawstring, Pocketed","casual, On the Move",5,Maple Metamorphosis Dark Red Multi,,XS
8,Team Canada City Sweat Jogger *COC Logo,Joggers,French Terry,Classic Fit,"Drawstring, Pocketed","casual, On the Move",4,Maple Metamorphosis Dark Red Multi,,XL
9,Team Canada City Sweat Jogger *COC Logo,Joggers,French Terry,Classic Fit,"Drawstring, Pocketed","casual, On the Move",2,Maple Metamorphosis Dark Red Multi,,M
10,Team Canada City Sweat Jogger *COC Logo,Joggers,French Terry,Classic Fit,"Drawstring, Pocketed","casual, On the Move",3,Maple Metamorphosis Dark Red Multi,,S
11,Team Canada City Sweat Jogger *COC Logo,Joggers,French Terry,Classic Fit,"Drawstring, Pocketed","casual, On the Move",1,Maple Metamorphosis Dark Red Multi,,L
12,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",45,Graphite Grey,,XXXL
13,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",52,Graphite Grey,,4XL
14,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",41,Graphite Grey,,5XL
15,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",50,Graphite Grey,,M
16,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",51,Graphite Grey,,L
17,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",49,Graphite Grey,,S
18,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",48,Graphite Grey,,XL
19,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",47,Graphite Grey,,XS
20,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",46,Graphite Grey,,XXL
21,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",32,Iron Blue,,XXL
22,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",28,Iron Blue,,L
23,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",27,Iron Blue,,M
24,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",29,Iron Blue,,S
25,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",31,Iron Blue,,XS
26,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",30,Iron Blue,,XL
27,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",2,Iron Blue,,XXXL
28,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",43,Iron Blue,,4XL
29,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",42,Iron Blue,,5XL
30,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",7,Black,,XS
31,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",6,Black,,XL
32,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",8,Black,,XXL
33,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",12,True Navy,,L
34,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",3,Black,,L
35,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",1,True Navy,,XXXL
36,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",4,Black,,M
37,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",5,Black,,S
38,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",14,True Navy,,XXL
39,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",9,True Navy,,XS
40,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",13,True Navy,,XL
41,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",10,True Navy,,S
42,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",11,True Navy,,M
43,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",24,Rhino Grey,,M
44,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",26,Rhino Grey,,XXL
45,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",25,Rhino Grey,,L
46,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",22,Rhino Grey,,XL
47,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",21,Rhino Grey,,XS
48,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",23,Rhino Grey,,S
49,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",12,Raw Linen,"Spring, Summer, Fall, Winter",XXL
50,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",11,Raw Linen,"Spring, Summer, Fall, Winter",XL
51,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",13,Raw Linen,"Spring, Summer, Fall, Winter",XS
52,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",38,Rhino Grey,,XXL
53,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",10,Raw Linen,"Spring, Summer, Fall, Winter",S
54,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",40,Rhino Grey,,4XL
55,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",39,Rhino Grey,,XXXL
56,Surge Jogger,Joggers,Warpstreme,Slim Fit,"Lightweight, Pocketed, Reflective","running, workout",34,Rhino Grey,,M
