,Product Name,Category,Product Feel,Product Fit,Product Function,Best Suited Activity,sku_orderInAvailabilityMap,Color,Best Suited Weather,sku_size
0,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",37,Dark Olive,"Spring, Summer, Warm Weather",S
1,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",38,Dark Olive,"Spring, Summer, Warm Weather",XL
2,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",39,Dark Olive,"Spring, Summer, Warm Weather",XS
3,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",40,Dark Olive,"Spring, Summer, Warm Weather",XXL
4,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",3,Cyan Blue,"Spring, Summer, Warm Weather",S
5,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",5,Cyan Blue,"Spring, Summer, Warm Weather",XS
6,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",4,Cyan Blue,"Spring, Summer, Warm Weather",XL
7,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",1,Cyan Blue,"Spring, Summer, Warm Weather",L
8,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",2,Cyan Blue,"Spring, Summer, Warm Weather",M
9,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",36,Dark Olive,"Spring, Summer, Warm Weather",M
10,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",35,Dark Olive,"Spring, Summer, Warm Weather",L
11,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",41,Sport Red,"Spring, Summer, Warm Weather",L
12,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",46,Sport Red,"Spring, Summer, Warm Weather",XXL
13,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",45,Sport Red,"Spring, Summer, Warm Weather",XS
14,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",42,Sport Red,"Spring, Summer, Warm Weather",M
15,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",43,Sport Red,"Spring, Summer, Warm Weather",S
16,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",44,Sport Red,"Spring, Summer, Warm Weather",XL
