,Product Name,Category,Product Feel,Product Fit,Product Function,Best Suited Activity,sku_orderInAvailabilityMap,Color,Best Suited Weather,sku_size
0,"ABC Pant Relaxed 34"" *Warpstreme",Trousers,Warpstreme,Relaxed Fit,ABC Technology,"On the Move, golf, work, casual",5,Obsidian,"Spring, Summer, Fall, Winter",32
1,"ABC Pant Relaxed 34"" *Warpstreme",Trousers,Warpstreme,Relaxed Fit,ABC Technology,"On the Move, golf, work, casual",1,Obsidian,"Spring, Summer, Fall, Winter",28
2,"ABC Pant Relaxed 34"" *Warpstreme",Trousers,Warpstreme,Relaxed Fit,ABC Technology,"On the Move, golf, work, casual",2,Obsidian,"Spring, Summer, Fall, Winter",29
3,"ABC Pant Relaxed 34"" *Warpstreme",Trousers,Warpstreme,Relaxed Fit,ABC Technology,"On the Move, golf, work, casual",4,Obsidian,"Spring, Summer, Fall, Winter",31
4,"ABC Pant Relaxed 34"" *Warpstreme",Trousers,Warpstreme,Relaxed Fit,ABC Technology,"On the Move, golf, work, casual",3,Obsidian,"Spring, Summer, Fall, Winter",30
5,"ABC Slim-Fit 5 Pocket Pant 32""L *Warpstreme",Trousers,Warpstreme,Slim Fit,"ABC Technology, Pocketed, Reflective","casual, On the Move, work",7,Bone,"Cold Weather, Fall, Spring, Summer, Winter",34
6,"ABC Slim-Fit 5 Pocket Pant 32""L *Warpstreme",Trousers,Warpstreme,Slim Fit,"ABC Technology, Pocketed, Reflective","casual, On the Move, work",6,Bone,"Cold Weather, Fall, Spring, Summer, Winter",33
7,"ABC Slim-Fit 5 Pocket Pant 32""L *Warpstreme",Trousers,Warpstreme,Slim Fit,"ABC Technology, Pocketed, Reflective","casual, On the Move, work",3,Bone,"Cold Weather, Fall, Spring, Summer, Winter",30
8,"ABC Slim-Fit 5 Pocket Pant 32""L *Warpstreme",Trousers,Warpstreme,Slim Fit,"ABC Technology, Pocketed, Reflective","casual, On the Move, work",2,Bone,"Cold Weather, Fall, Spring, Summer, Winter",29
9,"ABC Slim-Fit 5 Pocket Pant 32""L *Warpstreme",Trousers,Warpstreme,Slim Fit,"ABC Technology, Pocketed, Reflective","casual, On the Move, work",5,Bone,"Cold Weather, Fall, Spring, Summer, Winter",32
10,"ABC Slim-Fit 5 Pocket Pant 32""L *Warpstreme",Trousers,Warpstreme,Slim Fit,"ABC Technology, Pocketed, Reflective","casual, On the Move, work",4,Bone,"Cold Weather, Fall, Spring, Summer, Winter",31
11,"ABC Slim-Fit 5 Pocket Pant 32""L *Warpstreme",Trousers,Warpstreme,Slim Fit,"ABC Technology, Pocketed, Reflective","casual, On the Move, work",1,Bone,"Cold Weather, Fall, Spring, Summer, Winter",28
12,"ABC Slim-Fit 5 Pocket Pant 32""L *Warpstreme",Trousers,Warpstreme,Slim Fit,"ABC Technology, Pocketed, Reflective","casual, On the Move, work",16,Bone,"Cold Weather, Fall, Spring, Summer, Winter",29
13,"ABC Slim-Fit 5 Pocket Pant 32""L *Warpstreme",Trousers,Warpstreme,Slim Fit,"ABC Technology, Pocketed, Reflective","casual, On the Move, work",15,Bone,"Cold Weather, Fall, Spring, Summer, Winter",28
14,"ABC Slim-Fit 5 Pocket Pant 32""L *Warpstreme",Trousers,Warpstreme,Slim Fit,"ABC Technology, Pocketed, Reflective","casual, On the Move, work",18,Bone,"Cold Weather, Fall, Spring, Summer, Winter",31
15,"ABC Slim-Fit 5 Pocket Pant 32""L *Warpstreme",Trousers,Warpstreme,Slim Fit,"ABC Technology, Pocketed, Reflective","casual, On the Move, work",17,Bone,"Cold Weather, Fall, Spring, Summer, Winter",30
16,"ABC Slim-Fit 5 Pocket Pant 32""L *Warpstreme",Trousers,Warpstreme,Slim Fit,"ABC Technology, Pocketed, Reflective","casual, On the Move, work",21,Bone,"Cold Weather, Fall, Spring, Summer, Winter",34
17,"ABC Slim-Fit 5 Pocket Pant 32""L *Warpstreme",Trousers,Warpstreme,Slim Fit,"ABC Technology, Pocketed, Reflective","casual, On the Move, work",19,Bone,"Cold Weather, Fall, Spring, Summer, Winter",32
